pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	229841
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	54167
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	19055
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12504
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	17319
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	26931
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	19419
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	14127
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	17064
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	18019
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16970
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	22163
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	66892
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	109689
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	77371
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	19258
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	11886
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	69981
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	59044
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	21942
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	15978
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	66411
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	26987
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	14751
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	20193
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	66508
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	240672
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	22330
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	72621
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	21946
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	22209
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	67603
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12359
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	13350
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	544963
