pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Downstream signal transduction	0.002277904328018223	0.033929477422628106	-0.6362722841788733	-2.136781251663169	0	21	12928
Downstream signal transduction	0.002277904328018223	0.033929477422628106	-0.6362722841788733	-2.136781251663169	0	21	74769
Eicosanoid ligand-binding receptors	0.0038535645472061657	0.048227163461538464	0.8019913040635465	1.883433004790224	1	8	58861
Eicosanoid ligand-binding receptors	0.0038535645472061657	0.048227163461538464	0.8019913040635465	1.883433004790224	1	8	16995
Eicosanoid ligand-binding receptors	0.0038535645472061657	0.048227163461538464	0.8019913040635465	1.883433004790224	1	8	19217
Eicosanoid ligand-binding receptors	0.0038535645472061657	0.048227163461538464	0.8019913040635465	1.883433004790224	1	8	70086
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	16776
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	26432
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	18452
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	12505
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	11492
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	12215
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	12334
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	16412
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	11501
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	16410
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	20750
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	18550
Extracellular matrix organization	0.004347826086956522	0.05207657365347177	0.39320507136924904	1.7171030562707086	2	117	16998
